paper_id;reviewer_id;decision;text
1;9742915;1;This is placeholder text for each review...
1;9742919;0;This is placeholder text for each review...
1;9742911;0;This is placeholder text for each review...
1;9742907;1;This is placeholder text for each review...
1;9742929;0;This is placeholder text for each review...
1;9742926;1;This is placeholder text for each review...
1;9742914;1;This is placeholder text for each review...
2;9742926;1;This is placeholder text for each review...
2;9742908;0;This is placeholder text for each review...
2;9742921;1;This is placeholder text for each review...
2;9742920;1;This is placeholder text for each review...
2;9742911;1;This is placeholder text for each review...
3;9742929;0;This is placeholder text for each review...
3;9742926;1;This is placeholder text for each review...
3;9742916;0;This is placeholder text for each review...
3;9742921;1;This is placeholder text for each review...
3;9742907;1;This is placeholder text for each review...
3;9742908;0;This is placeholder text for each review...
3;9742925;1;This is placeholder text for each review...
4;9742921;0;This is placeholder text for each review...
4;9742929;0;This is placeholder text for each review...
4;9742907;1;This is placeholder text for each review...
4;9742928;0;This is placeholder text for each review...
4;9742913;0;This is placeholder text for each review...
5;9742922;1;This is placeholder text for each review...
5;9742920;1;This is placeholder text for each review...
5;9742912;1;This is placeholder text for each review...
5;9742907;0;This is placeholder text for each review...
5;9742919;0;This is placeholder text for each review...
5;9742918;1;This is placeholder text for each review...
6;9742914;1;This is placeholder text for each review...
6;9742919;0;This is placeholder text for each review...
6;9742923;0;This is placeholder text for each review...
6;9742912;1;This is placeholder text for each review...
6;9742924;1;This is placeholder text for each review...
6;9742908;1;This is placeholder text for each review...
6;9742922;0;This is placeholder text for each review...
7;9742915;1;This is placeholder text for each review...
7;9742921;1;This is placeholder text for each review...
7;9742922;0;This is placeholder text for each review...
7;9742924;1;This is placeholder text for each review...
7;9742907;0;This is placeholder text for each review...
7;9742919;0;This is placeholder text for each review...
7;9742926;1;This is placeholder text for each review...
8;9742917;0;This is placeholder text for each review...
8;9742911;1;This is placeholder text for each review...
8;9742913;0;This is placeholder text for each review...
8;9742925;1;This is placeholder text for each review...
8;9742922;0;This is placeholder text for each review...
8;9742919;1;This is placeholder text for each review...
9;9742928;0;This is placeholder text for each review...
9;9742926;0;This is placeholder text for each review...
9;9742923;0;This is placeholder text for each review...
9;9742924;1;This is placeholder text for each review...
9;9742913;0;This is placeholder text for each review...
9;9742909;0;This is placeholder text for each review...
9;9742917;1;This is placeholder text for each review...
10;9742909;1;This is placeholder text for each review...
10;9742908;0;This is placeholder text for each review...
10;9742920;1;This is placeholder text for each review...
10;9742921;1;This is placeholder text for each review...
10;9742926;0;This is placeholder text for each review...
10;9742914;1;This is placeholder text for each review...
11;9742920;1;This is placeholder text for each review...
11;9742918;0;This is placeholder text for each review...
11;9742913;1;This is placeholder text for each review...
11;9742923;0;This is placeholder text for each review...
11;9742929;0;This is placeholder text for each review...
11;9742922;1;This is placeholder text for each review...
12;9742923;0;This is placeholder text for each review...
12;9742912;1;This is placeholder text for each review...
12;9742918;1;This is placeholder text for each review...
12;9742924;0;This is placeholder text for each review...
12;9742913;1;This is placeholder text for each review...
12;9742917;1;This is placeholder text for each review...
12;9742911;1;This is placeholder text for each review...
13;9742920;0;This is placeholder text for each review...
13;9742922;0;This is placeholder text for each review...
13;9742921;0;This is placeholder text for each review...
13;9742912;1;This is placeholder text for each review...
13;9742924;0;This is placeholder text for each review...
13;9742928;0;This is placeholder text for each review...
14;9742916;0;This is placeholder text for each review...
14;9742926;1;This is placeholder text for each review...
14;9742919;0;This is placeholder text for each review...
14;9742924;1;This is placeholder text for each review...
14;9742914;0;This is placeholder text for each review...
14;9742921;0;This is placeholder text for each review...
14;9742912;0;This is placeholder text for each review...
15;9742917;0;This is placeholder text for each review...
15;9742922;1;This is placeholder text for each review...
15;9742925;0;This is placeholder text for each review...
15;9742912;0;This is placeholder text for each review...
15;9742921;1;This is placeholder text for each review...
15;9742926;1;This is placeholder text for each review...
15;9742913;1;This is placeholder text for each review...
16;9742919;0;This is placeholder text for each review...
16;9742928;0;This is placeholder text for each review...
16;9742910;1;This is placeholder text for each review...
16;9742914;0;This is placeholder text for each review...
16;9742925;1;This is placeholder text for each review...
16;9742920;1;This is placeholder text for each review...
16;9742929;0;This is placeholder text for each review...
17;9742918;0;This is placeholder text for each review...
17;9742922;0;This is placeholder text for each review...
17;9742921;1;This is placeholder text for each review...
17;9742927;1;This is placeholder text for each review...
17;9742923;0;This is placeholder text for each review...
17;9742928;1;This is placeholder text for each review...
17;9742915;0;This is placeholder text for each review...
18;9742918;1;This is placeholder text for each review...
18;9742917;0;This is placeholder text for each review...
18;9742910;0;This is placeholder text for each review...
18;9742926;0;This is placeholder text for each review...
18;9742921;0;This is placeholder text for each review...
18;9742923;1;This is placeholder text for each review...
18;9742924;1;This is placeholder text for each review...
19;9742910;1;This is placeholder text for each review...
19;9742913;0;This is placeholder text for each review...
19;9742921;1;This is placeholder text for each review...
19;9742911;0;This is placeholder text for each review...
19;9742917;1;This is placeholder text for each review...
19;9742920;1;This is placeholder text for each review...
19;9742928;1;This is placeholder text for each review...
20;9742928;1;This is placeholder text for each review...
20;9742927;1;This is placeholder text for each review...
20;9742914;0;This is placeholder text for each review...
20;9742921;0;This is placeholder text for each review...
20;9742912;0;This is placeholder text for each review...
21;9742918;1;This is placeholder text for each review...
21;9742924;0;This is placeholder text for each review...
21;9742917;0;This is placeholder text for each review...
21;9742928;0;This is placeholder text for each review...
21;9742907;1;This is placeholder text for each review...
21;9742923;1;This is placeholder text for each review...
21;9742916;0;This is placeholder text for each review...
22;9742913;1;This is placeholder text for each review...
22;9742929;0;This is placeholder text for each review...
22;9742923;0;This is placeholder text for each review...
22;9742919;0;This is placeholder text for each review...
22;9742918;1;This is placeholder text for each review...
22;9742924;1;This is placeholder text for each review...
22;9742921;1;This is placeholder text for each review...
23;9742907;0;This is placeholder text for each review...
23;9742924;0;This is placeholder text for each review...
23;9742922;0;This is placeholder text for each review...
23;9742915;0;This is placeholder text for each review...
23;9742916;1;This is placeholder text for each review...
23;9742914;0;This is placeholder text for each review...
23;9742910;0;This is placeholder text for each review...
24;9742926;0;This is placeholder text for each review...
24;9742928;0;This is placeholder text for each review...
24;9742914;0;This is placeholder text for each review...
24;9742925;1;This is placeholder text for each review...
24;9742913;1;This is placeholder text for each review...
24;9742919;0;This is placeholder text for each review...
24;9742921;0;This is placeholder text for each review...
25;9742915;1;This is placeholder text for each review...
25;9742910;1;This is placeholder text for each review...
25;9742918;1;This is placeholder text for each review...
25;9742923;0;This is placeholder text for each review...
25;9742908;0;This is placeholder text for each review...
25;9742928;0;This is placeholder text for each review...
25;9742912;0;This is placeholder text for each review...
26;9742917;0;This is placeholder text for each review...
26;9742907;1;This is placeholder text for each review...
26;9742908;1;This is placeholder text for each review...
26;9742921;1;This is placeholder text for each review...
26;9742920;1;This is placeholder text for each review...
26;9742911;0;This is placeholder text for each review...
26;9742915;1;This is placeholder text for each review...
27;9742923;1;This is placeholder text for each review...
27;9742929;0;This is placeholder text for each review...
27;9742921;1;This is placeholder text for each review...
27;9742915;0;This is placeholder text for each review...
27;9742909;0;This is placeholder text for each review...
27;9742927;0;This is placeholder text for each review...
27;9742910;1;This is placeholder text for each review...
28;9742911;1;This is placeholder text for each review...
28;9742928;0;This is placeholder text for each review...
28;9742915;1;This is placeholder text for each review...
28;9742909;1;This is placeholder text for each review...
28;9742910;0;This is placeholder text for each review...
29;9742928;1;This is placeholder text for each review...
29;9742917;1;This is placeholder text for each review...
29;9742929;1;This is placeholder text for each review...
29;9742922;1;This is placeholder text for each review...
29;9742913;0;This is placeholder text for each review...
29;9742907;1;This is placeholder text for each review...
29;9742920;0;This is placeholder text for each review...
30;9742910;0;This is placeholder text for each review...
30;9742924;0;This is placeholder text for each review...
30;9742929;1;This is placeholder text for each review...
30;9742920;0;This is placeholder text for each review...
30;9742928;0;This is placeholder text for each review...
30;9742917;1;This is placeholder text for each review...
30;9742908;1;This is placeholder text for each review...
31;9742929;1;This is placeholder text for each review...
31;9742915;1;This is placeholder text for each review...
31;9742909;1;This is placeholder text for each review...
31;9742912;1;This is placeholder text for each review...
31;9742920;1;This is placeholder text for each review...
31;9742910;1;This is placeholder text for each review...
31;9742922;0;This is placeholder text for each review...
32;9742908;0;This is placeholder text for each review...
32;9742922;1;This is placeholder text for each review...
32;9742911;0;This is placeholder text for each review...
32;9742907;0;This is placeholder text for each review...
32;9742909;0;This is placeholder text for each review...
32;9742923;1;This is placeholder text for each review...
32;9742912;0;This is placeholder text for each review...
33;9742916;0;This is placeholder text for each review...
33;9742913;1;This is placeholder text for each review...
33;9742909;1;This is placeholder text for each review...
33;9742917;1;This is placeholder text for each review...
33;9742910;1;This is placeholder text for each review...
33;9742907;1;This is placeholder text for each review...
33;9742918;1;This is placeholder text for each review...
34;9742914;1;This is placeholder text for each review...
34;9742913;1;This is placeholder text for each review...
34;9742911;1;This is placeholder text for each review...
34;9742917;0;This is placeholder text for each review...
34;9742909;0;This is placeholder text for each review...
34;9742918;1;This is placeholder text for each review...
34;9742926;1;This is placeholder text for each review...
35;9742922;0;This is placeholder text for each review...
35;9742920;0;This is placeholder text for each review...
35;9742916;0;This is placeholder text for each review...
35;9742914;0;This is placeholder text for each review...
35;9742909;1;This is placeholder text for each review...
35;9742907;0;This is placeholder text for each review...
35;9742911;0;This is placeholder text for each review...
36;9742914;1;This is placeholder text for each review...
36;9742924;1;This is placeholder text for each review...
36;9742909;0;This is placeholder text for each review...
36;9742912;1;This is placeholder text for each review...
36;9742919;0;This is placeholder text for each review...
36;9742913;0;This is placeholder text for each review...
36;9742925;1;This is placeholder text for each review...
37;9742912;0;This is placeholder text for each review...
37;9742918;0;This is placeholder text for each review...
37;9742917;0;This is placeholder text for each review...
37;9742925;1;This is placeholder text for each review...
37;9742911;0;This is placeholder text for each review...
37;9742915;1;This is placeholder text for each review...
37;9742920;1;This is placeholder text for each review...
38;9742921;1;This is placeholder text for each review...
38;9742910;1;This is placeholder text for each review...
38;9742908;1;This is placeholder text for each review...
38;9742929;1;This is placeholder text for each review...
38;9742917;1;This is placeholder text for each review...
38;9742911;1;This is placeholder text for each review...
38;9742924;1;This is placeholder text for each review...
39;9742921;0;This is placeholder text for each review...
39;9742908;0;This is placeholder text for each review...
39;9742916;0;This is placeholder text for each review...
39;9742910;1;This is placeholder text for each review...
39;9742914;0;This is placeholder text for each review...
39;9742922;1;This is placeholder text for each review...
39;9742924;1;This is placeholder text for each review...
40;9742910;0;This is placeholder text for each review...
40;9742911;0;This is placeholder text for each review...
40;9742929;1;This is placeholder text for each review...
40;9742907;0;This is placeholder text for each review...
40;9742915;1;This is placeholder text for each review...
41;9742910;1;This is placeholder text for each review...
41;9742920;1;This is placeholder text for each review...
41;9742914;1;This is placeholder text for each review...
41;9742919;0;This is placeholder text for each review...
41;9742908;0;This is placeholder text for each review...
41;9742927;0;This is placeholder text for each review...
41;9742928;0;This is placeholder text for each review...
42;9742928;0;This is placeholder text for each review...
42;9742912;0;This is placeholder text for each review...
42;9742919;1;This is placeholder text for each review...
42;9742929;0;This is placeholder text for each review...
42;9742915;1;This is placeholder text for each review...
42;9742925;0;This is placeholder text for each review...
42;9742911;1;This is placeholder text for each review...
43;9742916;0;This is placeholder text for each review...
43;9742926;1;This is placeholder text for each review...
43;9742925;0;This is placeholder text for each review...
43;9742919;0;This is placeholder text for each review...
43;9742907;0;This is placeholder text for each review...
43;9742917;1;This is placeholder text for each review...
43;9742921;1;This is placeholder text for each review...
44;9742910;1;This is placeholder text for each review...
44;9742911;0;This is placeholder text for each review...
44;9742920;1;This is placeholder text for each review...
44;9742915;0;This is placeholder text for each review...
44;9742923;0;This is placeholder text for each review...
44;9742907;0;This is placeholder text for each review...
44;9742928;0;This is placeholder text for each review...
45;9742907;1;This is placeholder text for each review...
45;9742922;0;This is placeholder text for each review...
45;9742912;0;This is placeholder text for each review...
45;9742924;1;This is placeholder text for each review...
45;9742914;1;This is placeholder text for each review...
45;9742929;0;This is placeholder text for each review...
45;9742908;0;This is placeholder text for each review...
46;9742909;1;This is placeholder text for each review...
46;9742922;1;This is placeholder text for each review...
46;9742907;0;This is placeholder text for each review...
46;9742910;0;This is placeholder text for each review...
46;9742916;0;This is placeholder text for each review...
46;9742928;0;This is placeholder text for each review...
46;9742913;0;This is placeholder text for each review...
47;9742910;0;This is placeholder text for each review...
47;9742923;0;This is placeholder text for each review...
47;9742925;1;This is placeholder text for each review...
47;9742921;1;This is placeholder text for each review...
47;9742924;0;This is placeholder text for each review...
47;9742909;0;This is placeholder text for each review...
47;9742917;1;This is placeholder text for each review...
48;9742908;1;This is placeholder text for each review...
48;9742907;1;This is placeholder text for each review...
48;9742912;0;This is placeholder text for each review...
48;9742923;0;This is placeholder text for each review...
48;9742914;0;This is placeholder text for each review...
49;9742926;0;This is placeholder text for each review...
49;9742919;1;This is placeholder text for each review...
49;9742909;0;This is placeholder text for each review...
49;9742925;1;This is placeholder text for each review...
49;9742911;0;This is placeholder text for each review...
49;9742914;1;This is placeholder text for each review...
49;9742913;0;This is placeholder text for each review...
50;9742914;0;This is placeholder text for each review...
50;9742908;1;This is placeholder text for each review...
50;9742922;0;This is placeholder text for each review...
50;9742909;0;This is placeholder text for each review...
50;9742916;0;This is placeholder text for each review...
50;9742920;0;This is placeholder text for each review...
50;9742923;0;This is placeholder text for each review...
51;9742924;0;This is placeholder text for each review...
51;9742922;1;This is placeholder text for each review...
51;9742927;1;This is placeholder text for each review...
51;9742929;0;This is placeholder text for each review...
51;9742916;1;This is placeholder text for each review...
51;9742913;0;This is placeholder text for each review...
51;9742908;1;This is placeholder text for each review...
52;9742924;0;This is placeholder text for each review...
52;9742913;1;This is placeholder text for each review...
52;9742928;0;This is placeholder text for each review...
52;9742921;1;This is placeholder text for each review...
52;9742911;1;This is placeholder text for each review...
52;9742919;0;This is placeholder text for each review...
52;9742914;0;This is placeholder text for each review...
53;9742918;1;This is placeholder text for each review...
53;9742920;0;This is placeholder text for each review...
53;9742929;0;This is placeholder text for each review...
53;9742907;0;This is placeholder text for each review...
53;9742925;1;This is placeholder text for each review...
53;9742917;1;This is placeholder text for each review...
53;9742924;1;This is placeholder text for each review...
54;9742926;0;This is placeholder text for each review...
54;9742913;1;This is placeholder text for each review...
54;9742922;0;This is placeholder text for each review...
54;9742927;0;This is placeholder text for each review...
54;9742928;0;This is placeholder text for each review...
54;9742907;1;This is placeholder text for each review...
54;9742920;0;This is placeholder text for each review...
55;9742914;1;This is placeholder text for each review...
55;9742913;0;This is placeholder text for each review...
55;9742909;1;This is placeholder text for each review...
55;9742908;1;This is placeholder text for each review...
55;9742907;1;This is placeholder text for each review...
55;9742928;1;This is placeholder text for each review...
55;9742916;0;This is placeholder text for each review...
56;9742907;0;This is placeholder text for each review...
56;9742924;1;This is placeholder text for each review...
56;9742908;0;This is placeholder text for each review...
56;9742913;0;This is placeholder text for each review...
56;9742923;1;This is placeholder text for each review...
56;9742919;1;This is placeholder text for each review...
56;9742910;0;This is placeholder text for each review...
57;9742927;0;This is placeholder text for each review...
57;9742910;0;This is placeholder text for each review...
57;9742915;0;This is placeholder text for each review...
57;9742907;0;This is placeholder text for each review...
57;9742922;1;This is placeholder text for each review...
57;9742918;1;This is placeholder text for each review...
57;9742914;1;This is placeholder text for each review...
58;9742914;1;This is placeholder text for each review...
58;9742921;0;This is placeholder text for each review...
58;9742918;0;This is placeholder text for each review...
58;9742928;0;This is placeholder text for each review...
58;9742912;1;This is placeholder text for each review...
58;9742922;0;This is placeholder text for each review...
58;9742925;1;This is placeholder text for each review...
59;9742910;1;This is placeholder text for each review...
59;9742927;0;This is placeholder text for each review...
59;9742922;1;This is placeholder text for each review...
59;9742911;0;This is placeholder text for each review...
59;9742923;0;This is placeholder text for each review...
60;9742925;0;This is placeholder text for each review...
60;9742927;0;This is placeholder text for each review...
60;9742910;0;This is placeholder text for each review...
60;9742919;1;This is placeholder text for each review...
60;9742917;1;This is placeholder text for each review...
60;9742913;1;This is placeholder text for each review...
60;9742922;0;This is placeholder text for each review...
61;9742929;0;This is placeholder text for each review...
61;9742924;0;This is placeholder text for each review...
61;9742908;1;This is placeholder text for each review...
61;9742913;1;This is placeholder text for each review...
61;9742914;1;This is placeholder text for each review...
61;9742907;1;This is placeholder text for each review...
61;9742909;1;This is placeholder text for each review...
62;9742920;0;This is placeholder text for each review...
62;9742912;1;This is placeholder text for each review...
62;9742915;1;This is placeholder text for each review...
62;9742927;1;This is placeholder text for each review...
62;9742914;1;This is placeholder text for each review...
62;9742928;0;This is placeholder text for each review...
62;9742921;1;This is placeholder text for each review...
63;9742916;0;This is placeholder text for each review...
63;9742921;1;This is placeholder text for each review...
63;9742915;0;This is placeholder text for each review...
63;9742929;0;This is placeholder text for each review...
63;9742909;0;This is placeholder text for each review...
63;9742922;0;This is placeholder text for each review...
63;9742908;1;This is placeholder text for each review...
64;9742908;1;This is placeholder text for each review...
64;9742909;0;This is placeholder text for each review...
64;9742924;0;This is placeholder text for each review...
64;9742914;0;This is placeholder text for each review...
64;9742920;1;This is placeholder text for each review...
64;9742915;0;This is placeholder text for each review...
64;9742919;0;This is placeholder text for each review...
65;9742920;1;This is placeholder text for each review...
65;9742925;0;This is placeholder text for each review...
65;9742916;1;This is placeholder text for each review...
65;9742929;0;This is placeholder text for each review...
65;9742921;0;This is placeholder text for each review...
66;9742915;0;This is placeholder text for each review...
66;9742928;0;This is placeholder text for each review...
66;9742909;1;This is placeholder text for each review...
66;9742926;1;This is placeholder text for each review...
66;9742913;0;This is placeholder text for each review...
66;9742914;1;This is placeholder text for each review...
66;9742929;0;This is placeholder text for each review...
67;9742928;0;This is placeholder text for each review...
67;9742918;1;This is placeholder text for each review...
67;9742909;1;This is placeholder text for each review...
67;9742912;1;This is placeholder text for each review...
67;9742919;0;This is placeholder text for each review...
67;9742908;1;This is placeholder text for each review...
67;9742922;1;This is placeholder text for each review...
68;9742910;0;This is placeholder text for each review...
68;9742922;1;This is placeholder text for each review...
68;9742924;0;This is placeholder text for each review...
68;9742911;0;This is placeholder text for each review...
68;9742919;1;This is placeholder text for each review...
68;9742921;0;This is placeholder text for each review...
68;9742929;1;This is placeholder text for each review...
69;9742909;1;This is placeholder text for each review...
69;9742914;1;This is placeholder text for each review...
69;9742928;0;This is placeholder text for each review...
69;9742916;1;This is placeholder text for each review...
69;9742922;1;This is placeholder text for each review...
69;9742924;1;This is placeholder text for each review...
70;9742923;1;This is placeholder text for each review...
70;9742909;1;This is placeholder text for each review...
70;9742925;0;This is placeholder text for each review...
70;9742926;1;This is placeholder text for each review...
70;9742920;1;This is placeholder text for each review...
70;9742915;0;This is placeholder text for each review...
70;9742911;0;This is placeholder text for each review...
71;9742918;1;This is placeholder text for each review...
71;9742922;0;This is placeholder text for each review...
71;9742920;1;This is placeholder text for each review...
71;9742929;0;This is placeholder text for each review...
71;9742913;0;This is placeholder text for each review...
71;9742921;1;This is placeholder text for each review...
71;9742911;1;This is placeholder text for each review...
72;9742909;0;This is placeholder text for each review...
72;9742914;1;This is placeholder text for each review...
72;9742915;0;This is placeholder text for each review...
72;9742922;1;This is placeholder text for each review...
72;9742918;1;This is placeholder text for each review...
72;9742908;0;This is placeholder text for each review...
72;9742924;1;This is placeholder text for each review...
73;9742913;1;This is placeholder text for each review...
73;9742920;0;This is placeholder text for each review...
73;9742909;1;This is placeholder text for each review...
73;9742914;1;This is placeholder text for each review...
73;9742908;0;This is placeholder text for each review...
73;9742911;1;This is placeholder text for each review...
73;9742916;1;This is placeholder text for each review...
74;9742910;1;This is placeholder text for each review...
74;9742922;0;This is placeholder text for each review...
74;9742919;0;This is placeholder text for each review...
74;9742929;0;This is placeholder text for each review...
74;9742921;1;This is placeholder text for each review...
74;9742916;0;This is placeholder text for each review...
75;9742927;1;This is placeholder text for each review...
75;9742929;0;This is placeholder text for each review...
75;9742917;1;This is placeholder text for each review...
75;9742924;1;This is placeholder text for each review...
75;9742907;1;This is placeholder text for each review...
75;9742926;1;This is placeholder text for each review...
76;9742914;0;This is placeholder text for each review...
76;9742908;1;This is placeholder text for each review...
76;9742926;1;This is placeholder text for each review...
76;9742929;1;This is placeholder text for each review...
76;9742918;0;This is placeholder text for each review...
76;9742916;0;This is placeholder text for each review...
76;9742915;0;This is placeholder text for each review...
77;9742911;1;This is placeholder text for each review...
77;9742907;1;This is placeholder text for each review...
77;9742915;1;This is placeholder text for each review...
77;9742929;0;This is placeholder text for each review...
77;9742923;1;This is placeholder text for each review...
77;9742916;0;This is placeholder text for each review...
77;9742919;1;This is placeholder text for each review...
78;9742924;1;This is placeholder text for each review...
78;9742912;1;This is placeholder text for each review...
78;9742919;1;This is placeholder text for each review...
78;9742909;1;This is placeholder text for each review...
78;9742925;1;This is placeholder text for each review...
78;9742910;0;This is placeholder text for each review...
78;9742917;0;This is placeholder text for each review...
79;9742923;1;This is placeholder text for each review...
79;9742908;0;This is placeholder text for each review...
79;9742916;1;This is placeholder text for each review...
79;9742925;1;This is placeholder text for each review...
79;9742909;1;This is placeholder text for each review...
79;9742911;1;This is placeholder text for each review...
79;9742910;0;This is placeholder text for each review...
80;9742923;1;This is placeholder text for each review...
80;9742917;0;This is placeholder text for each review...
80;9742914;0;This is placeholder text for each review...
80;9742907;0;This is placeholder text for each review...
80;9742918;0;This is placeholder text for each review...
80;9742925;0;This is placeholder text for each review...
80;9742921;0;This is placeholder text for each review...
81;9742924;1;This is placeholder text for each review...
81;9742925;0;This is placeholder text for each review...
81;9742919;0;This is placeholder text for each review...
81;9742928;1;This is placeholder text for each review...
81;9742913;0;This is placeholder text for each review...
81;9742922;1;This is placeholder text for each review...
81;9742912;0;This is placeholder text for each review...
82;9742909;1;This is placeholder text for each review...
82;9742914;0;This is placeholder text for each review...
82;9742915;1;This is placeholder text for each review...
82;9742911;1;This is placeholder text for each review...
82;9742920;1;This is placeholder text for each review...
82;9742917;1;This is placeholder text for each review...
82;9742919;0;This is placeholder text for each review...
83;9742926;1;This is placeholder text for each review...
83;9742913;0;This is placeholder text for each review...
83;9742919;0;This is placeholder text for each review...
83;9742921;0;This is placeholder text for each review...
83;9742912;0;This is placeholder text for each review...
83;9742907;1;This is placeholder text for each review...
83;9742917;1;This is placeholder text for each review...
84;9742919;1;This is placeholder text for each review...
84;9742922;0;This is placeholder text for each review...
84;9742920;0;This is placeholder text for each review...
84;9742925;0;This is placeholder text for each review...
84;9742909;1;This is placeholder text for each review...
85;9742908;1;This is placeholder text for each review...
